,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
6351,9543,2013-2014,52.5,A,57.0999984741,S,FSEG,Tronc commun,G1
6352,9543,2014-2015,48.2999992371,A,56.5,S,FSEG,Tronc commun,G2
6353,9543,2015-2016,54.5,A,58.4000015259,S,FSEG,Tronc commun,G3
6354,9544,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6355,9545,2013-2014,49.2999992371,A,57.5,S,FD,Droit Économique et Social,L1
6356,9545,2014-2015,,AA,61.4000015259,S,FD,Droit Économique et Social,L2
6357,9546,2013-2014,,AA,43.2999992371,A,FSEG,Tronc commun,G2
6358,9546,2014-2015,,AA,56.0,S,FSEG,Tronc commun,G2
6359,9546,2015-2016,,AA,56.4000015259,S,FSEG,Tronc commun,G3
6360,9547,2013-2014,,AA,59.5999984741,S,FPSE,Tronc commun,G1
6361,9547,2014-2015,,AA,59.7000007629,S,FPSE,Psychologie / Psychologie clinique,G2
6362,9548,2013-2014,54.5999984741,A,58.7999992371,S,FSDC,Tronc commun,G1
6363,9548,2014-2015,,AA,,AA,FSDC,Tronc commun,G2
6364,9549,2013-2014,45.4000015259,A,51.2999992371,A,FSEG,Tronc commun,G1
6365,9549,2014-2015,,AA,,A,FSEG,Tronc commun,G1
6366,9550,2013-2014,60.4000015259,S,,,FSEG,Tronc commun,G1
6367,9550,2014-2015,64.9000015259,S,,,FSEG,Tronc commun,G2
6368,9550,2015-2016,62.2999992371,S,,,FSEG,Tronc commun,G3
6369,9551,2013-2014,52.9000015259,A,55.5,S,FSEG,Tronc commun,G1
6370,9551,2014-2015,54.7999992371,A,58.2000007629,S,FSEG,Tronc commun,G2
6371,9551,2015-2016,,AA,61.5999984741,S,FSEG,Tronc commun,G3
6372,9552,2013-2014,,AA,,A,FSDC,Tronc commun,L0
6373,9553,2013-2014,62.9000015259,S,,,FPSE,Tronc commun,G1
6374,9553,2014-2015,,AA,55.7999992371,S,FPSE,Psychologie / Psychologie clinique,G2
6375,9553,2015-2016,,AA,64.0,S,FPSE,Psychologie / Psychologie clinique,G3
6376,9554,2013-2014,,AA,64.0999984741,S,FSEG,Tronc commun,G1
6377,9554,2014-2015,62.0999984741,S,,,FSEG,Tronc commun,G2
6378,9554,2015-2016,64.0999984741,S,,,FSEG,Tronc commun,G3
6379,9555,2013-2014,50.0999984741,A,59.9000015259,S,FSEG,Tronc commun,G1
6380,9555,2014-2015,56.9000015259,S,,,FSEG,Tronc commun,G2
6381,9555,2015-2016,,A,58.4000015259,S,FSEG,Tronc commun,G3
6382,9556,2013-2014,,AA,58.2999992371,S,FSDC,Tronc commun,G1
6383,9556,2014-2015,62.9000015259,S,,,FSDC,Tronc commun,G2
6384,9556,2015-2016,66.1999969482,S,,,FSDC,Tronc commun,G3
6385,9557,2013-2014,44.5,A,59.5,S,FPSE,Tronc commun,G1
6386,9557,2014-2015,46.2999992371,A,57.0,S,FPSE,Psychologie / Psychologie clinique,G2
6387,9557,2015-2016,,AA,58.2000007629,S,FPSE,Psychologie / Psychologie clinique,G3
6388,9558,2013-2014,,AA,65.3000030518,S,FSDC,Tronc commun,L0
6389,9558,2014-2015,,AA,61.2000007629,S,FSDC,Gestion et Administration des Projets de Santé,L1
6390,9558,2015-2016,,ADSTM,64.5,S,FSDC,Gestion et Administration des Projets de Santé,L2
6391,9559,2013-2014,67.8000030518,S,,,FPSE,Tronc commun,G1
6392,9559,2014-2015,70.5,D,,,FPSE,Psychologie / Psychologie clinique,G2
6393,9559,2015-2016,73.0999984741,D,,,FPSE,Psychologie / Psychologie clinique,G3
6394,9560,2013-2014,,AA,52.0,A,FSEG,Tronc commun,G1
6395,9560,2014-2015,,AA,57.5999984741,S,FPSE,Psychologie / Psychologie clinique,G1
6396,9560,2015-2016,,AA,56.2999992371,S,FPSE,Psychologie / Psychologie clinique,G2
6397,9561,2013-2014,,AA,54.5,S,FSEG,Tronc commun,G1
6398,9561,2014-2015,,AA,57.7000007629,S,FSEG,Tronc commun,G2
6399,9561,2015-2016,,AA,,A,FSEG,Tronc commun,G3
6400,9563,2013-2014,,AA,,AA,FPSE,Tronc commun,G1
6401,9564,2013-2014,,AA,58.9000015259,S,FSDC,Tronc commun,G1
6402,9564,2014-2015,,AA,60.5999984741,S,FSDC,Tronc commun,G2
6403,9564,2015-2016,,ADTFC,63.2999992371,S,FSDC,Tronc commun,G3
6404,9565,2013-2014,,AA,53.9000015259,S,FSEG,Tronc commun,G1
6405,9565,2014-2015,,AA,,A,FSEG,Tronc commun,G2
6406,9566,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6407,9567,2013-2014,53.7000007629,A,59.5,S,FSDC,Tronc commun,G1
