,ID,CGPA,DistinctionRatio,EchecRatio,NACADYEAR,Pass1stSessionRatio
329,4385,62.1000003815,0.0,0.0,2.0,0.0
330,4388,61.866666158,0.0,0.333333333333,3.0,0.0
331,4389,62.6000003815,0.0,0.0,2.0,0.5
332,4390,55.8666661581,0.0,0.666666666667,3.0,0.0
333,4392,65.4000015259,0.0,0.0,2.0,0.0
334,4396,59.4666659037,0.0,0.333333333333,3.0,0.0
335,4397,61.2999992371,0.0,0.0,1.0,0.0
336,4398,57.4000015259,0.0,0.0,2.0,0.0
337,4399,67.0999984741,0.0,0.0,1.0,0.0
338,4401,52.5499992371,0.0,1.0,2.0,0.0
339,4402,64.3000030518,0.0,0.0,1.0,0.0
340,4408,66.0999984741,0.0,0.0,1.0,0.0
341,4409,48.5999984741,0.0,1.0,1.0,0.0
342,4410,63.5,0.0,0.0,1.0,1.0
343,4411,62.5999984741,0.0,0.0,1.0,0.0
344,4415,62.2999992371,0.0,0.0,1.0,1.0
345,4416,64.3000030518,0.0,0.0,1.0,0.0
346,4418,56.1999988556,0.0,0.0,2.0,0.0
347,4419,59.7000007629,0.0,0.0,1.0,0.0
348,4421,48.25,0.0,1.0,1.0,0.0
349,4422,62.2000007629,0.0,0.0,1.0,0.0
350,4424,48.75,0.0,1.0,1.0,0.0
351,4426,62.2999992371,0.0,0.0,1.0,1.0
352,4430,59.8333333333,0.0,0.0,3.0,0.333333333333
353,4432,48.5,0.0,1.0,1.0,0.0
354,4433,61.7000007629,0.0,0.0,1.0,1.0
355,4436,66.5999984741,0.0,0.0,1.0,0.0
356,4437,63.7999992371,0.0,0.0,1.0,1.0
357,4439,64.4000015259,0.0,0.0,1.0,1.0
358,4441,65.4000015259,0.0,0.0,1.0,0.0
359,4446,60.0,0.0,0.0,1.0,0.0
360,4447,59.0500011444,0.0,0.0,2.0,0.0
361,4449,56.3500003815,0.0,0.0,2.0,0.0
362,4450,59.0999984741,0.0,0.0,1.0,0.0
363,4453,59.0999984741,0.0,0.0,1.0,0.0
364,4455,59.7999992371,0.0,0.0,2.0,0.0
365,4457,65.6000022889,0.0,0.0,2.0,1.0
366,4458,64.1999969482,0.0,0.0,1.0,1.0
367,4460,62.5,0.0,0.0,1.0,0.0
368,4463,59.7999992371,0.0,0.0,1.0,0.0
369,4466,60.1999988556,0.0,0.0,2.0,0.0
370,4467,59.4000015259,0.0,0.0,1.0,0.0
371,4468,60.5999984741,0.0,0.0,1.0,0.0
372,4470,48.625,0.0,1.0,2.0,0.0
373,4471,64.5,0.0,0.0,1.0,0.0
374,4472,62.5999984741,0.0,0.0,1.0,1.0
375,4473,55.4000002543,0.0,0.333333333333,3.0,0.0
376,4474,62.5999984741,0.0,0.0,1.0,0.0
377,4475,62.9000015259,0.0,0.0,1.0,0.0
378,4478,67.8999977112,0.0,0.0,2.0,0.0
379,4481,60.5,0.0,0.0,2.0,0.0
380,4482,48.0,0.0,1.0,1.0,0.0
381,4483,52.9750003815,0.0,0.5,2.0,0.0
382,4488,47.875,0.0,1.0,2.0,0.0
383,4489,66.4500007629,0.5,0.0,2.0,0.0
384,4490,48.8999996185,0.0,0.5,2.0,0.0
385,4492,55.133333842,0.0,0.333333333333,3.0,0.0
386,4493,57.0999984741,0.0,1.0,1.0,0.0
387,4494,60.7999992371,0.0,0.0,2.0,0.0
388,4497,55.3999996185,0.0,0.5,2.0,0.0
389,4498,61.1499996185,0.0,0.0,2.0,0.0
390,4500,62.133333842,0.0,0.0,3.0,0.0
391,4505,66.5499992371,0.0,0.0,2.0,0.0
392,4508,62.7999992371,0.0,0.0,1.0,1.0
393,4510,60.3500003815,0.0,0.0,2.0,0.5
394,4511,48.0,0.0,1.0,1.0,0.0
395,4512,62.0,0.0,0.0,1.0,0.0
396,4513,61.2999992371,0.0,0.0,1.0,0.0
397,4515,59.8500003815,0.0,0.0,2.0,0.0
398,4519,60.7000007629,0.0,0.0,1.0,1.0
399,4528,58.0,0.0,0.0,1.0,0.0
400,4531,64.0999984741,0.0,0.0,1.0,0.0
401,4532,49.0,0.0,1.0,1.0,0.0
402,4533,64.4000015259,0.0,0.0,1.0,0.0
403,4535,64.0999984741,0.0,0.0,1.0,0.0
404,4536,64.3000030518,0.0,0.0,1.0,0.0
405,4539,63.5,0.0,0.0,2.0,0.0
406,4542,49.0,0.0,1.0,1.0,0.0
407,4543,68.9500007629,0.5,0.0,2.0,1.0
408,4544,63.1999988555,0.0,0.0,2.0,0.5
409,4545,62.4000015259,0.0,0.0,1.0,1.0
410,4550,57.4000015259,0.0,0.0,1.0,0.0
411,4552,58.2999992371,0.0,0.0,1.0,0.0
412,4553,60.7999992371,0.0,0.0,2.0,0.0
413,4554,63.2000007629,0.0,0.0,1.0,0.0
414,4556,61.9000015259,0.0,0.0,1.0,1.0
415,4558,58.7999992371,0.0,0.0,1.0,0.0
416,4559,54.7999992371,0.0,0.5,2.0,0.0
417,4560,68.3000030518,0.0,0.0,1.0,1.0
418,4561,62.0,0.0,0.0,1.0,0.0
419,4562,61.0999984741,0.0,0.0,1.0,0.0
420,4563,67.5999984741,0.0,0.0,1.0,1.0
421,4566,58.4000015259,0.0,0.0,1.0,0.0
422,4567,68.9499969482,0.0,0.0,2.0,1.0
423,4569,60.2999992371,0.0,0.0,1.0,0.0
424,4570,63.5,0.0,0.0,1.0,0.0
425,4574,60.7333335876,0.0,0.0,3.0,0.333333333333
426,4577,50.5999984741,0.0,1.0,1.0,0.0
427,4585,64.9000015259,0.0,0.0,1.0,0.0
428,4587,59.0,0.0,0.0,1.0,0.0
429,4592,63.2999992371,0.0,0.0,1.0,0.0
430,4595,54.1749992371,0.0,0.5,2.0,0.5
431,4596,63.0999984741,0.0,0.0,1.0,0.0
432,4597,64.8000030518,0.0,0.0,1.0,0.0
433,4602,54.9000015259,0.0,1.0,1.0,0.0
434,4603,48.25,0.0,1.0,1.0,0.0
435,4605,50.6499996185,0.0,1.0,2.0,0.0
436,4609,63.0,0.0,0.0,1.0,1.0
437,4612,48.5,0.0,1.0,2.0,0.0
438,4617,75.0,1.0,0.0,2.0,0.5
439,4619,69.1999969482,0.5,0.0,2.0,0.0
440,4620,65.5,0.0,0.0,2.0,0.0
441,4622,68.1000022888,0.0,0.0,2.0,0.0
442,4624,64.3000030518,0.0,0.0,1.0,1.0
443,4625,64.8000030518,0.0,0.0,1.0,1.0
444,4627,59.4000015259,0.0,0.0,1.0,0.0
445,4628,60.5999984741,0.0,0.0,1.0,0.0
446,4629,54.8250007629,0.0,0.5,2.0,0.0
447,4630,59.1499996185,0.0,0.5,2.0,0.0
448,4631,62.4000015259,0.0,0.0,1.0,0.0
449,4632,62.7000007629,0.0,0.0,1.0,0.0
450,4633,59.9000015259,0.0,0.0,1.0,0.0
451,4635,66.3999977112,0.0,0.0,2.0,0.5
452,4637,65.3999977112,0.0,0.0,2.0,0.5
453,4638,61.0,0.0,0.0,2.0,0.5
454,4639,67.5,0.0,0.0,2.0,0.5
455,4642,69.4500007629,0.5,0.0,2.0,0.5
456,4643,65.4000015259,0.0,0.0,2.0,1.0
457,4644,61.7000007629,0.0,0.0,1.0,0.0
458,4648,68.7000007629,0.0,0.0,2.0,1.0
459,4649,60.5,0.0,0.0,1.0,0.0
460,4653,64.6000003815,0.0,0.0,2.0,0.0
461,4654,60.2999992371,0.0,0.0,2.0,1.0
462,4656,57.1499996185,0.0,0.0,2.0,0.5
463,4657,62.7000007629,0.0,0.0,1.0,0.0
464,4659,63.8499984741,0.0,0.0,2.0,1.0
465,4660,65.9500007629,0.0,0.0,2.0,0.5
466,4664,61.2000007629,0.0,0.0,1.0,0.0
467,4667,68.2999992371,0.0,0.0,2.0,1.0
468,4668,71.6499977112,0.5,0.0,2.0,1.0
469,4669,60.7000007629,0.0,0.0,1.0,1.0
470,4670,64.0499992371,0.0,0.0,2.0,1.0
471,4671,63.7999992371,0.0,0.0,2.0,1.0
472,4672,56.9000015259,0.0,0.0,1.0,0.0
473,4676,65.3499984741,0.0,0.0,2.0,0.5
474,4677,65.3000030518,0.0,0.0,2.0,1.0
